outbreak_day,confirmed_cases,probable_plus_suspected_cases,confirmed_deaths,probable_plus_suspected_deaths
116,2,0,0,0 
117,2,0,1,0 
119,26,106,14,68 
120,37,98,14,74 
123,56,107,18,75 
126,59,113,21,84 
128,71,111,29,84 
130,77,108,48,71 
134,77,120,48,71 
135,107,129,62,73 
136,115,127,67,75 
139,118,129,75,74 
140,118,136,75,72 
142,121,143,78,74 
143,121,144,78,74 
145,127,144,80,74 
150,133,140,87,73 
151,133,118,87,73 
152,133,123,88,78 
154,133,123,89,79 
156,135,126,90,79 
161,144,129,98,84 
176,176,126,109,89 
177,185,135,114,95 
178,192,162,116,94 
181,217,203,116,109 
183,231,205,116,116 
185,247,198,116,127 
186,249,204,116,128 
196,305,215,116,179 
197,375,192,116,230 
198,379,180,116,233 
199,385,182,116,234 
200,431,158,116,213 
202,441,158,116,222 
210,544,215,291,176 
212,557,222,299,182 
216,626,218,350,168 
218,664,224,368,171 
222,706,258,397,206 
224,717,265,407,206 
227,745,303,422,210 
230,786,307,442,218 
233,814,387,456,216 
237,909,414,485,244 
242,1009,594,574,313 
245,1070,641,603,329 
247,1134,645,622,339 
250,1176,672,660,353 
252,1251,724,686,383 
254,1310,817,712,433 
259,1460,1013,805,545 
261,1528,1087,844,583 
267,1752,1317,897,655 
272,2106,1601,1050,798 
278,2552,1741,1376,920 
279,2639,1751,1386,840 
281,2775,1941,1451,934 
285,3017,1968,1513,948 
286,3095,2262,1590,1040 
289,3146,2513,1629,1120 
291,3273,2526,1657,1123 
292,3341,2523,1687,1124 
293,3487,2776,1698,1219 
295,3626,2948,1837,1254 
300,3973,3205,2006,1332 
302,3978,3339,2050,1359 
303,4108,3384,2078,1361 
306,4118,3464,2162,1418 
307,4461,3572,2337,1528 
308,4462,3572,2337,1528 
309,4517,3721,2402,1579 
310,4655,3744,2431,1602 
313,4662,3910,2431,1744 
314,5006,3991,2659,1834 
317,5007,3991,2659,1834 
320,5022,4392,2828,1912 
321,5501,4435,2945,1932 
323,5524,4425,2967,1932 
324,5690,4449,2989,1932 
325,5692,4449,2990,1932 
329,6082,5751,2990,2222 
331,6178,5519,2990,2253 
333,7664,5893,2990,2245 
335,7991,5051,2980,1838 
336,8013,5058,2993,1838 
337,8168,5100,3021,1939 
341,8207,5264,3021,2009 
342,8715,5383,3144,2016 
343,8724,5430,3144,1992 
344,8920,5493,3186,1991 
